power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
215,0,30,27,4001.0,Region_4001.0,-4.364285714285714,34.195714285714274,12.535714285714292,15.680132951851997
216,5,23,37,2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248,18.80723233967453
217,10,22,27,4002.0,Region_4002.0,8.117288651942118,35.72277227722773,14.432597105864431,18.702906097617102
218,31,56,14,2212.0,Region_2212.0,32.89458128078818,51.27487684729064,-12.141871921182265,26.63294378361657
219,26,50,27,2602.0,Region_2602.0,8.75070290534208,49.52858481724462,28.92689784442362,17.362989887607228
220,-39,51,17,2311.0,Region_2311.0,-45.890075128509295,28.666666666666657,12.582839066824832,23.785756741458734
221,2,-24,30,4011.0,Region_4011.0,-5.882534775888715,-16.1009788768676,40.21432251416796,15.12816160742029
222,6,-24,0,7102.0,Region_7102.0,12.703878902554393,-18.768211920529808,6.7284768211920465,10.843707815222565
223,-2,-13,12,7101.0,Region_7101.0,-11.198181818181823,-18.843636363636364,6.607272727272729,12.158788679336457
224,-10,-18,7,7101.0,Region_7101.0,-11.198181818181823,-18.843636363636364,6.607272727272729,1.517101411974455
225,12,-17,8,7102.0,Region_7102.0,12.703878902554393,-18.768211920529808,6.7284768211920465,2.2888403394755983
226,-5,-28,-4,7101.0,Region_7101.0,-11.198181818181823,-18.843636363636364,6.607272727272729,15.322228545590418
227,-22,7,-5,7011.0,Region_7011.0,-24.20812685827552,2.600594648166492,1.0703666997026744,7.815365860971459
228,-15,4,8,7001.0,Region_7001.0,-11.767151767151773,9.723492723492711,8.070686070686065,6.573786821390922
229,31,-14,2,4102.0,Region_4102.0,28.945031712473572,-20.991543340380545,-11.577167019027485,15.409219227648315
230,23,10,1,7012.0,Region_7012.0,27.484962406015036,3.6785714285714164,1.1936090225563873,7.75324650844129
231,29,1,4,7012.0,Region_7012.0,27.484962406015036,3.6785714285714164,1.1936090225563873,4.164842629370741
232,-31,-11,0,7011.0,Region_7011.0,-24.20812685827552,2.600594648166492,1.0703666997026744,15.239796600638927
233,15,5,7,7002.0,Region_7002.0,14.494969818913475,10.776659959758547,8.148893360160969,5.911413682657294
234,9,-4,6,7022.0,Region_7022.0,20.921428571428578,-1.057142857142864,-1.085714285714289,14.17703122256964
235,54,-43,22,6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964,15.437185636554673
236,-56,-50,10,8201.0,Region_8201.0,-55.86887899635775,-34.98421691622825,-3.584783488466215,20.249377194496287
237,-55,-40,14,6211.0,Region_6211.0,-56.14649681528661,-34.93630573248407,29.119426751592357,15.986010130082573
238,52,-33,8,8112.0,Region_8112.0,57.83253740846864,-23.01050620821394,5.418656478828396,11.852080543584442
239,51,-29,-4,8202.0,Region_8202.0,57.15990020412792,-38.565661147652534,-2.7752324790201897,11.443176971321009
240,56,-46,11,8202.0,Region_8202.0,57.15990020412792,-38.565661147652534,-2.7752324790201897,15.696234978685549
241,53,33,1,2312.0,Region_2312.0,50.06136680613668,28.901906090190607,12.817294281729431,12.848283265973212
242,-49,25,-1,2311.0,Region_2311.0,-45.890075128509295,28.666666666666657,12.582839066824832,14.408663861233759
